periodo precip et pet perc rchrg total_flow surq latq gwflo_cha gwflo_res total_gwflo reser_floin_mm scenario model
baseline 411.1815 392.772714285714 1644.50857142857 3.03728571428571 4.86935714285714 14.5471428571429 4.50357142857143 7.03428571428571 2.97242857142857 0.0368571428571429 3.00928571428571 14.9248476443959 RCP 4.5 mod_4
midterm 382.3486 373.0872 1695.3026 1.86685 2.87155 9.43325 3.2759 4.38795 1.76295 0.00645 1.7694 9.24102127389829 RCP 4.5 mod_4
longterm 373.66865 366.8823 1726.0948 2.0008 3.0797 9.0282 2.90625 4.14995 1.95265 0.01935 1.972 8.84353869908409 RCP 4.5 mod_4
other 405.280902439024 387.71412195122 1677.45153658537 2.57870731707317 4.10712195121951 11.5999756097561 3.75241463414634 5.30770731707317 2.52329268292683 0.0165609756097561 2.53985365853659 11.4683247309751 RCP 4.5 mod_4
baseline 394.508571428571 371.149 1664.38107142857 3.26142857142857 5.21271428571429 14.2415714285714 3.9435 7.35007142857143 2.91585714285714 0.0321428571428571 2.948 14.7100410229758 RCP 4.5 mod_6
midterm 383.8714 370.79915 1705.40575 1.8143 2.76245 8.68845 2.8081 4.0767 1.7776 0.02605 1.80365 8.55877633419468 RCP 4.5 mod_6
longterm 442.2166 421.77225 1705.27855 4.6061 7.7349 18.54375 6.07775 7.8907 4.4018 0.1735 4.5753 18.8366621282352 RCP 4.5 mod_6
other 414.413243902439 397.669512195122 1694.42804878049 2.58509756097561 4.11665853658537 11.8610487804878 3.69673170731707 5.54243902439024 2.59029268292683 0.0315853658536585 2.62187804878049 11.963477003003 RCP 4.5 mod_6
baseline 417.646928571429 400.837642857143 1641.31907142857 2.41692857142857 3.74514285714286 11.9335 3.18657142857143 6.36671428571429 2.36192857142857 0.0182857142857143 2.38021428571429 12.0884364680767 RCP 4.5 mod_7
midterm 369.07795 356.5863 1726.0281 3.50735 5.84265 15.07685 5.17145 6.42795 3.39635 0.0811 3.47745 15.5308238084533 RCP 4.5 mod_7
longterm 422.5822 400.105 1708.5499 3.86405 6.3458 16.1801 5.65645 6.7502 3.68895 0.0845 3.77345 16.428120474323 RCP 4.5 mod_7
other 381.822024390244 360.385390243902 1706.18692682927 2.33326829268293 3.68063414634146 10.7108536585366 3.42375609756098 5.03941463414634 2.23787804878049 0.00980487804878049 2.24768292682927 10.6771551125024 RCP 4.5 mod_7
baseline 386.784857142857 378.809428571429 1639.11471428571 1.58864285714286 2.3785 8.10085714285714 1.9755 4.55857142857143 1.56678571428571 0 1.56678571428571 8.22031336807154 RCP 4.5 mod_9
midterm 412.6346 390.94365 1683.7099 4.269 7.0783 17.65945 5.3975 8.0585 4.1437 0.05975 4.20345 18.2852037423587 RCP 4.5 mod_9
longterm 337.32535 329.5662 1740.0219 2.64635 4.3653 11.0994 3.2853 5.10015 2.686 0.02795 2.71395 11.3939770182039 RCP 4.5 mod_9
other 407.741243902439 384.417853658537 1670.07468292683 2.74421951219512 4.3680243902439 13.0389024390244 4.18312195121951 6.19034146341463 2.64960975609756 0.0158292682926829 2.66543902439024 13.2296980180207 RCP 4.5 mod_9
