escenario model periodo precip pcp_anom et et_anom pet pet_anom perc perc_anom rchrg rchrg_anom total_flow total_flow_anom surq surq_anom latq latq_anom gwflo_cha gwflocha_anom gwflo_res gwflores_anom total_gwflo totalgwflo_anom reser_floin_mm res_floin_anom
RCP 4.5 4 baseline 411.182 0 392.773 0 1644.509 0 3.037 0 4.869 0 14.547 0 4.504 0 7.034 0 2.972 0 0.037 0 3.009 0 14.925 0
RCP 4.5 4 midterm 382.349 -0.07 373.087 -0.05 1695.303 0.031 1.867 -0.385 2.872 -0.41 9.433 -0.352 3.276 -0.273 4.388 -0.376 1.763 -0.407 0.006 -0.825 1.769 -0.412 9.241 -0.381
RCP 4.5 4 longterm 373.669 -0.091 366.882 -0.066 1726.095 0.05 2.001 -0.341 3.08 -0.368 9.028 -0.379 2.906 -0.355 4.15 -0.41 1.953 -0.343 0.019 -0.475 1.972 -0.345 8.844 -0.407
RCP 4.5 4 other 405.281 -0.014 387.714 -0.013 1677.452 0.02 2.579 -0.151 4.107 -0.157 11.6 -0.203 3.752 -0.167 5.308 -0.245 2.523 -0.151 0.017 -0.551 2.54 -0.156 11.468 -0.232
RCP 4.5 6 baseline 394.509 0 371.149 0 1664.381 0 3.261 0 5.213 0 14.242 0 3.944 0 7.35 0 2.916 0 0.032 0 2.948 0 14.71 0
RCP 4.5 6 midterm 383.871 -0.027 370.799 -0.001 1705.406 0.025 1.814 -0.444 2.762 -0.47 8.688 -0.39 2.808 -0.288 4.077 -0.445 1.778 -0.39 0.026 -0.19 1.804 -0.388 8.559 -0.418
RCP 4.5 6 longterm 442.217 0.121 421.772 0.136 1705.279 0.025 4.606 0.412 7.735 0.484 18.544 0.302 6.078 0.541 7.891 0.074 4.402 0.51 0.174 4.398 4.575 0.552 18.837 0.281
RCP 4.5 6 other 414.413 0.05 397.67 0.071 1694.428 0.018 2.585 -0.207 4.117 -0.21 11.861 -0.167 3.697 -0.063 5.542 -0.246 2.59 -0.112 0.032 -0.017 2.622 -0.111 11.963 -0.187
RCP 4.5 7 baseline 417.647 0 400.838 0 1641.319 0 2.417 0 3.745 0 11.934 0 3.187 0 6.367 0 2.362 0 0.018 0 2.38 0 12.088 0
RCP 4.5 7 midterm 369.078 -0.116 356.586 -0.11 1726.028 0.052 3.507 0.451 5.843 0.56 15.077 0.263 5.171 0.623 6.428 0.01 3.396 0.438 0.081 3.435 3.477 0.461 15.531 0.285
RCP 4.5 7 longterm 422.582 0.012 400.105 -0.002 1708.55 0.041 3.864 0.599 6.346 0.694 16.18 0.356 5.656 0.775 6.75 0.06 3.689 0.562 0.084 3.621 3.773 0.585 16.428 0.359
RCP 4.5 7 other 381.822 -0.086 360.385 -0.101 1706.187 0.04 2.333 -0.035 3.681 -0.017 10.711 -0.102 3.424 0.074 5.039 -0.208 2.238 -0.053 0.01 -0.464 2.248 -0.056 10.677 -0.117
