escenario model periodo precip pcp_chg et et_chg pet pet_chg perc perc_chg rchrg rchrg_chg total_flow totalflo_chg surq surq_chg latq latq_chg gwflo_cha gwflocha_chg gwflo_res gwflores_chg total_gwflo totalgwflo_chg reser_floin_mm res_floin_chg
RCP 4.5 4 baseline 411.182 0 392.773 0 1644.509 0 3.037 0 4.869 0 14.547 0 4.504 0 7.034 0 2.972 0 0.037 0 3.009 0 14.925 0
RCP 4.5 4 midterm 382.349 -28.833 373.087 -19.686 1695.303 50.794 1.867 -1.17 2.872 -1.998 9.433 -5.114 3.276 -1.228 4.388 -2.646 1.763 -1.209 0.006 -0.03 1.769 -1.24 9.241 -5.684
RCP 4.5 4 longterm 373.669 -37.513 366.882 -25.89 1726.095 81.586 2.001 -1.036 3.08 -1.79 9.028 -5.519 2.906 -1.597 4.15 -2.884 1.953 -1.02 0.019 -0.018 1.972 -1.037 8.844 -6.081
RCP 4.5 4 other 405.281 -5.901 387.714 -5.059 1677.452 32.943 2.579 -0.459 4.107 -0.762 11.6 -2.947 3.752 -0.751 5.308 -1.727 2.523 -0.449 0.017 -0.02 2.54 -0.469 11.468 -3.457
RCP 4.5 6 baseline 394.509 0 371.149 0 1664.381 0 3.261 0 5.213 0 14.242 0 3.944 0 7.35 0 2.916 0 0.032 0 2.948 0 14.71 0
RCP 4.5 6 midterm 383.871 -10.637 370.799 -0.35 1705.406 41.025 1.814 -1.447 2.762 -2.45 8.688 -5.553 2.808 -1.135 4.077 -3.273 1.778 -1.138 0.026 -0.006 1.804 -1.144 8.559 -6.151
RCP 4.5 6 longterm 442.217 47.708 421.772 50.623 1705.279 40.897 4.606 1.345 7.735 2.522 18.544 4.302 6.078 2.134 7.891 0.541 4.402 1.486 0.174 0.141 4.575 1.627 18.837 4.127
RCP 4.5 6 other 414.413 19.905 397.67 26.521 1694.428 30.047 2.585 -0.676 4.117 -1.096 11.861 -2.381 3.697 -0.247 5.542 -1.808 2.59 -0.326 0.032 -0.001 2.622 -0.326 11.963 -2.747
RCP 4.5 7 baseline 417.647 0 400.838 0 1641.319 0 2.417 0 3.745 0 11.934 0 3.187 0 6.367 0 2.362 0 0.018 0 2.38 0 12.088 0
RCP 4.5 7 midterm 369.078 -48.569 356.586 -44.251 1726.028 84.709 3.507 1.09 5.843 2.098 15.077 3.143 5.171 1.985 6.428 0.061 3.396 1.034 0.081 0.063 3.477 1.097 15.531 3.442
RCP 4.5 7 longterm 422.582 4.935 400.105 -0.733 1708.55 67.231 3.864 1.447 6.346 2.601 16.18 4.247 5.656 2.47 6.75 0.383 3.689 1.327 0.084 0.066 3.773 1.393 16.428 4.34
RCP 4.5 7 other 381.822 -35.825 360.385 -40.452 1706.187 64.868 2.333 -0.084 3.681 -0.065 10.711 -1.223 3.424 0.237 5.039 -1.327 2.238 -0.124 0.01 -0.008 2.248 -0.133 10.677 -1.411
RCP 4.5 9 baseline 386.785 0 378.809 0 1639.115 0 1.589 0 2.378 0 8.101 0 1.976 0 4.559 0 1.567 0 0 0 1.567 0 8.22 0
RCP 4.5 9 midterm 412.635 25.85 390.944 12.134 1683.71 44.595 4.269 2.68 7.078 4.7 17.659 9.559 5.398 3.422 8.059 3.5 4.144 2.577 0.06 0.06 4.203 2.637 18.285 10.065
RCP 4.5 9 longterm 337.325 -49.46 329.566 -49.243 1740.022 100.907 2.646 1.058 4.365 1.987 11.099 2.999 3.285 1.31 5.1 0.542 2.686 1.119 0.028 0.028 2.714 1.147 11.394 3.174
RCP 4.5 9 other 407.741 20.956 384.418 5.608 1670.075 30.96 2.744 1.156 4.368 1.99 13.039 4.938 4.183 2.208 6.19 1.632 2.65 1.083 0.016 0.016 2.665 1.099 13.23 5.009
RCP 4.5 14 baseline 479.64 0 429.709 0 1633.734 0 6.061 0 10.246 0 30.852 0 12.653 0 12.22 0 5.731 0 0.248 0 5.979 0 31.582 0
RCP 4.5 14 midterm 343.649 -135.991 329.131 -100.578 1776.171 142.437 3.032 -3.028 5.001 -5.245 13.202 -17.65 5.189 -7.464 5.146 -7.074 2.723 -3.009 0.145 -0.104 2.867 -3.112 12.995 -18.587
RCP 4.5 14 longterm 326.756 -152.884 310.034 -119.675 1801.698 167.964 2.145 -3.915 3.456 -6.79 9.059 -21.792 3.02 -9.632 4.05 -8.169 1.905 -3.826 0.084 -0.165 1.988 -3.991 8.814 -22.768
RCP 4.5 14 other 371.39 -108.249 351.018 -78.691 1735.533 101.799 3.765 -2.296 6.374 -3.872 16.103 -14.749 6.151 -6.502 6.143 -6.077 3.631 -2.101 0.179 -0.07 3.809 -2.17 16.134 -15.448
RCP 8.5 4 baseline 440.577 0 417.172 0 1635.32 0 2.88 0 4.462 0 14.801 0 4.843 0 7.214 0 2.718 0 0.026 0 2.744 0 14.786 0
RCP 8.5 4 midterm 381.05 -59.527 362.053 -55.12 1734.052 98.732 1.853 -1.026 2.799 -1.663 10.16 -4.641 4.287 -0.555 4.114 -3.1 1.725 -0.993 0.033 0.007 1.758 -0.986 9.679 -5.107
RCP 8.5 4 longterm 278.475 -162.102 279.731 -137.441 1857.742 222.422 0.777 -2.102 1.082 -3.38 4.462 -10.339 1.491 -3.352 2.187 -5.026 0.784 -1.934 0 -0.026 0.784 -1.96 4.181 -10.605
RCP 8.5 4 other 371.084 -69.493 361.414 -55.758 1718.944 83.624 2.012 -0.867 3.182 -1.28 9.375 -5.426 3.058 -1.785 4.299 -2.915 1.965 -0.753 0.053 0.027 2.018 -0.726 9.101 -5.684
RCP 8.5 6 baseline 425.426 0 410.931 0 1671.047 0 2.736 0 4.294 0 13.024 0 3.707 0 6.588 0 2.697 0 0.032 0 2.729 0 13.224 0
RCP 8.5 6 midterm 418.752 -6.673 395.525 -15.406 1726.857 55.81 2.921 0.185 4.694 0.4 13.47 0.446 4.945 1.238 5.709 -0.879 2.741 0.044 0.075 0.042 2.816 0.087 13.475 0.251
RCP 8.5 6 longterm 387.102 -38.324 371.012 -39.919 1844.979 173.932 3.05 0.314 5.006 0.712 13.895 0.871 5.009 1.302 5.887 -0.701 2.904 0.207 0.095 0.062 2.999 0.27 13.932 0.708
RCP 8.5 6 other 418.958 -6.468 393.091 -17.84 1731.872 60.825 4.017 1.281 6.64 2.346 17.083 4.059 5.645 1.938 7.466 0.878 3.873 1.176 0.098 0.066 3.971 1.242 17.444 4.22
RCP 8.5 7 baseline 420.874 0 400.505 0 1651.048 0 2.834 0 4.461 0 14.609 0 4.952 0 6.839 0 2.79 0 0.028 0 2.818 0 14.809 0
RCP 8.5 7 midterm 422.451 1.577 396.353 -4.152 1734.937 83.888 3.997 1.163 6.714 2.254 17.162 2.553 6.563 1.61 6.616 -0.223 3.813 1.023 0.17 0.142 3.983 1.165 17.127 2.318
RCP 8.5 7 longterm 382.92 -37.954 369.138 -31.367 1846.46 195.412 3.682 0.848 6.18 1.719 15.873 1.264 5.945 0.992 6.227 -0.612 3.601 0.81 0.101 0.073 3.701 0.883 16.216 1.407
RCP 8.5 7 other 383.308 -37.566 367.796 -32.71 1733.569 82.521 2.57 -0.263 4.07 -0.391 11.733 -2.876 4.105 -0.848 5.145 -1.694 2.472 -0.318 0.012 -0.015 2.484 -0.334 11.87 -2.938
RCP 8.5 9 baseline 410.127 0 391.91 0 1645.807 0 3.114 0 5.012 0 14.061 0 4.1 0 6.921 0 3.027 0 0.013 0 3.04 0 14.542 0
RCP 8.5 9 midterm 353.249 -56.878 339.207 -52.703 1753.912 108.105 3.299 0.185 5.503 0.491 13.443 -0.618 4.425 0.325 5.704 -1.217 3.242 0.215 0.072 0.059 3.314 0.274 13.834 -0.708
RCP 8.5 9 longterm 338.698 -71.429 325.826 -66.085 1844.864 199.057 2.224 -0.89 3.535 -1.477 10.204 -3.857 3.445 -0.655 4.588 -2.333 2.127 -0.9 0.044 0.031 2.17 -0.87 10.095 -4.446
RCP 8.5 9 other 339.404 -70.723 324.492 -67.418 1736.553 90.746 1.786 -1.328 2.822 -2.19 8.385 -5.676 2.655 -1.445 3.969 -2.952 1.752 -1.275 0.008 -0.005 1.761 -1.279 8.379 -6.163
RCP 8.5 14 baseline 395.486 0 374.449 0 1652.806 0 1.911 0 2.807 0 10.559 0 3.424 0 5.391 0 1.744 0 0 0 1.744 0 10.68 0
RCP 8.5 14 midterm 289.98 -105.506 286.963 -87.486 1812.461 159.655 0.675 -1.236 0.952 -1.855 3.983 -6.576 1.375 -2.049 1.938 -3.453 0.653 -1.091 0.017 0.017 0.67 -1.074 3.547 -7.132
RCP 8.5 14 longterm 273.254 -122.232 266.221 -108.228 1930.709 277.903 0.711 -1.199 0.977 -1.83 5.189 -5.37 2.428 -0.996 2.111 -3.279 0.637 -1.107 0.012 0.012 0.65 -1.094 4.708 -5.972
RCP 8.5 14 other 337.156 -58.33 321.639 -52.81 1776.192 123.386 2.891 0.98 4.863 2.057 12.854 2.295 4.91 1.485 5.03 -0.36 2.789 1.045 0.125 0.125 2.914 1.17 12.923 2.244
